fiscal_year,customer_code,market,date,product_code,product,variant,sold_quantity,gross_price,gross_price_total,pre_invoice_discount_pct
2018,70012042,Germany,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,0,15.3952,0.0000,0.0984
2018,70012043,Germany,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,0,15.3952,0.0000,0.2620
2018,70013125,Italy,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,1,15.3952,15.3952,0.0587
2018,70013126,Italy,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,1,15.3952,15.3952,0.2501
2018,70016178,Poland,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,1,15.3952,15.3952,0.1937
2018,70022085,USA,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,20,15.3952,307.9040,0.2025
2018,70023031,Canada,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,4,15.3952,61.5808,0.1008
2018,80001019,China,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,10,15.3952,153.9520,0.2815
2018,80006154,Philiphines,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,10,15.3952,153.9520,0.2728
2018,80006155,Philiphines,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,28,15.3952,431.0656,0.2797
2018,80007195,"South Korea",2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,80,15.3952,1231.6160,0.2990
2018,90001021,China,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,1,15.3952,15.3952,0.2798
2018,90002001,India,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,42,15.3952,646.5984,0.2490
2018,90002002,India,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,40,15.3952,615.8080,0.2005
2018,90002003,India,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,54,15.3952,831.3408,0.2831
2018,90002005,India,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,77,15.3952,1185.4304,0.2121
2018,90002006,India,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,30,15.3952,461.8560,0.2923
2018,90002007,India,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,67,15.3952,1031.4784,0.2265
2018,90002009,India,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,47,15.3952,723.5744,0.2156
2018,90002010,India,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,58,15.3952,892.9216,0.2242
2018,90002011,India,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,21,15.3952,323.2992,0.2902
2018,90002013,India,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,17,15.3952,261.7184,0.2644
2018,90002014,India,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,16,15.3952,246.3232,0.2971
2018,90002015,India,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,32,15.3952,492.6464,0.2860
2018,90003179,Indonesia,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,15,15.3952,230.9280,0.2193
2018,90006153,Philiphines,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,9,15.3952,138.5568,0.2970
2018,90007197,"South Korea",2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,48,15.3952,738.9696,0.2031
2018,90008165,Australia,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,9,15.3952,138.5568,0.2849
2018,90008166,Australia,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,12,15.3952,184.7424,0.2884
2018,90008167,Australia,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,10,15.3952,153.9520,0.1947
2018,90011185,France,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,3,15.3952,46.1856,0.2779
2018,90011186,France,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,2,15.3952,30.7904,0.2091
2018,90011187,France,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,2,15.3952,30.7904,0.2924
2018,90011189,France,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,5,15.3952,76.9760,0.2992
2018,90011190,France,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,10,15.3952,153.9520,0.2717
2018,90011191,France,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,14,15.3952,215.5328,0.2270
2018,90012033,Germany,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,0,15.3952,0.0000,0.2847
2018,90012034,Germany,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,0,15.3952,0.0000,0.1984
2018,90012035,Germany,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,0,15.3952,0.0000,0.2777
2018,90012037,Germany,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,0,15.3952,0.0000,0.2204
2018,90012038,Germany,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,0,15.3952,0.0000,0.2947
2018,90012039,Germany,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,0,15.3952,0.0000,0.2285
2018,90012041,Germany,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,0,15.3952,0.0000,0.2576
2018,90013117,Italy,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,1,15.3952,15.3952,0.1990
2018,90013118,Italy,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,2,15.3952,30.7904,0.2634
2018,90013119,Italy,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,2,15.3952,30.7904,0.2809
2018,90013121,Italy,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,3,15.3952,46.1856,0.2639
2018,90013122,Italy,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,3,15.3952,46.1856,0.1942
2018,90013123,Italy,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,3,15.3952,46.1856,0.2567
2018,90016173,Poland,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,1,15.3952,15.3952,0.2083
2018,90016175,Poland,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,1,15.3952,15.3952,0.2551
2018,90022071,USA,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,21,15.3952,323.2992,0.1906
2018,90022073,USA,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,18,15.3952,277.1136,0.2834
2018,90022074,USA,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,39,15.3952,600.4128,0.2709
2018,90022075,USA,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,19,15.3952,292.5088,0.2553
2018,90022077,USA,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,10,15.3952,153.9520,0.2394
2018,90022078,USA,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,20,15.3952,307.9040,0.2882
2018,90022079,USA,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,29,15.3952,446.4608,0.2788
2018,90022081,USA,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,37,15.3952,569.6224,0.2957
2018,90022082,USA,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,6,15.3952,92.3712,0.2954
2018,90022083,USA,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,10,15.3952,153.9520,0.2551
2018,90023022,Canada,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,5,15.3952,76.9760,0.2054
2018,90023023,Canada,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,1,15.3952,15.3952,0.2764
2018,90023025,Canada,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,1,15.3952,15.3952,0.2908
2018,90023026,Canada,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,2,15.3952,30.7904,0.2998
2018,90023027,Canada,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,1,15.3952,15.3952,0.2755
2018,90023029,Canada,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,2,15.3952,30.7904,0.2171
2018,90023030,Canada,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,4,15.3952,61.5808,0.2117
2018,90027207,Brazil,2017-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,4,15.3952,61.5808,0.2803
2018,70002017,India,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,54,15.3952,831.3408,0.0824
2018,70002018,India,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,53,15.3952,815.9456,0.2956
2018,70003181,Indonesia,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,22,15.3952,338.6944,0.0536
2018,70003182,Indonesia,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,10,15.3952,153.9520,0.2378
2018,70006157,Philiphines,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,4,15.3952,61.5808,0.1057
2018,70006158,Philiphines,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,9,15.3952,138.5568,0.1875
2018,70007198,"South Korea",2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,12,15.3952,184.7424,0.0700
2018,70008169,Australia,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,4,15.3952,61.5808,0.0953
2018,70008170,Australia,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,22,15.3952,338.6944,0.1896
2018,70011193,France,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,13,15.3952,200.1376,0.0521
2018,70011194,France,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,8,15.3952,123.1616,0.2046
2018,70013125,Italy,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,1,15.3952,15.3952,0.0587
2018,70013126,Italy,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,4,15.3952,61.5808,0.2501
2018,70016177,Poland,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,2,15.3952,30.7904,0.0856
2018,70016178,Poland,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,2,15.3952,30.7904,0.1937
2018,70022084,USA,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,26,15.3952,400.2752,0.0589
2018,70022085,USA,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,28,15.3952,431.0656,0.2025
2018,70023032,Canada,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,3,15.3952,46.1856,0.2999
2018,70027208,Brazil,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,5,15.3952,76.9760,0.1896
2018,80006154,Philiphines,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,41,15.3952,631.2032,0.2728
2018,80007196,"South Korea",2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,52,15.3952,800.5504,0.2231
2018,90001020,China,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,2,15.3952,30.7904,0.2254
2018,90001021,China,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,5,15.3952,76.9760,0.2798
2018,90002001,India,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,88,15.3952,1354.7776,0.2490
2018,90002002,India,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,71,15.3952,1093.0592,0.2005
2018,90002004,India,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,36,15.3952,554.2272,0.2103
2018,90002005,India,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,55,15.3952,846.7360,0.2121
2018,90002006,India,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,74,15.3952,1139.2448,0.2923
2018,90002008,India,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,32,15.3952,492.6464,0.2385
2018,90002009,India,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,64,15.3952,985.2928,0.2156
2018,90002010,India,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,40,15.3952,615.8080,0.2242
2018,90002012,India,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,100,15.3952,1539.5200,0.2329
2018,90002013,India,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,22,15.3952,338.6944,0.2644
2018,90002014,India,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,58,15.3952,892.9216,0.2971
2018,90002016,India,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,45,15.3952,692.7840,0.2134
2018,90003180,Indonesia,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,4,15.3952,61.5808,0.1809
2018,90006153,Philiphines,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,12,15.3952,184.7424,0.2970
2018,90006156,Philiphines,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,11,15.3952,169.3472,0.2552
2018,90007197,"South Korea",2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,53,15.3952,815.9456,0.2031
2018,90008164,Australia,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,18,15.3952,277.1136,0.3009
2018,90008165,Australia,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,13,15.3952,200.1376,0.2849
2018,90008166,Australia,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,22,15.3952,338.6944,0.2884
2018,90008168,Australia,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,19,15.3952,292.5088,0.3005
2018,90011185,France,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,4,15.3952,61.5808,0.2779
2018,90011186,France,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,16,15.3952,246.3232,0.2091
2018,90011188,France,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,11,15.3952,169.3472,0.2233
2018,90011189,France,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,18,15.3952,277.1136,0.2992
2018,90011190,France,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,10,15.3952,153.9520,0.2717
2018,90011192,France,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,5,15.3952,76.9760,0.2587
2018,90013116,Italy,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,1,15.3952,15.3952,0.2409
2018,90013117,Italy,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,1,15.3952,15.3952,0.1990
2018,90013118,Italy,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,2,15.3952,30.7904,0.2634
2018,90013120,Italy,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,4,15.3952,61.5808,0.2651
2018,90013121,Italy,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,1,15.3952,15.3952,0.2639
2018,90013122,Italy,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,4,15.3952,61.5808,0.1942
2018,90013124,Italy,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,3,15.3952,46.1856,0.2710
2018,90016172,Poland,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,2,15.3952,30.7904,0.2525
2018,90016173,Poland,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,1,15.3952,15.3952,0.2083
2018,90016174,Poland,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,1,15.3952,15.3952,0.2051
2018,90016176,Poland,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,1,15.3952,15.3952,0.2762
2018,90022072,USA,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,39,15.3952,600.4128,0.2934
2018,90022073,USA,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,31,15.3952,477.2512,0.2834
2018,90022074,USA,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,45,15.3952,692.7840,0.2709
2018,90022076,USA,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,34,15.3952,523.4368,0.2434
2018,90022077,USA,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,29,15.3952,446.4608,0.2394
2018,90022078,USA,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,31,15.3952,477.2512,0.2882
2018,90022080,USA,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,14,15.3952,215.5328,0.1814
2018,90022081,USA,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,33,15.3952,508.0416,0.2957
2018,90022082,USA,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,42,15.3952,646.5984,0.2954
2018,90023022,Canada,2017-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,7,15.3952,107.7664,0.2054
